riding,liberal_votes_2024,pc_votes_2024,green_votes_2024
Albert-Riverview,2599,4363,972
Arcadia-Butternut Valley-Maple Hills,2289,4284,1093
Bathurst,3357,2029,325
Beausoleil-Grand-Bouctouche-Kent,5794,1761,1220
Belle-Baie-Belledune,5053,1254,1411
Caraquet,6002,719,0
Carleton-Victoria,2159,4798,451
Carleton-York,2136,4622,675
Champdoré-Irishtown,3732,2450,743
Dieppe-Memramcook,5600,1311,1531
Edmundston-Vallée-des-Rivières,5573,1049,0
Fredericton-Lincoln,2244,2307,3646
Fredericton North,4130,2753,922
Fredericton South-Silverwood,4605,2287,1860
Fredericton-Grand Lake,2277,4456,862
Fredericton-York,2527,3572,1673
Fundy-The Isles-Saint John Lorneville,2052,3971,346
Grand Falls-Vallée-des-Rivières-Saint-Quentin,4976,2493,540
Hampton-Fundy-St. Martins,3259,3035,1553
Hanwell-New Maryland,4006,3948,1051
Hautes-Terres-Nepisiguit,4675,1454,0
Kent North,3928,1441,3251
Kings Centre,2557,3821,1136
Madawaska Les Lacs-Edmundston,4798,1970,218
Miramichi Bay-Neguac,4219,3146,711
Miramichi East,2921,3633,355
Miramichi West,2254,3814,273
Moncton Centre,3501,1738,711
Moncton East,4449,1903,736
Moncton Northwest,3761,3536,804
Moncton South,3559,2229,900
Oromocto-Sunbury,2725,4381,868
Quispamsis,3861,3668,378
Restigouche East,3590,2271,389
Restigouche West,3993,1733,380
Riverview,2740,3114,1978
Rothesay,4085,3373,549
Saint Croix,2063,3271,1442
Saint John East,3147,3181,514
Saint John Harbour,3413,1563,715
Saint John Portland-Simonds,3546,2497,438
Saint John West-Lancaster,3525,2787,864
Shediac Bay-Dieppe,6530,1803,1254
Shediac-Cap-Acadie,5438,1322,2901
Shippagan-Les-Îles,5021,530,1111
Sussex-Three Rivers,3282,3789,1235
Tantramar,1276,1166,2468
Tracadie,5030,537,3829
Woodstock-Hartland,2549,4199,276
